DISTRICT,DA0GR07N,DA0GR07P,DB0GR07N,DB0GR07P,DH0GR07N,DH0GR07P,DI0GR07N,DI0GR07P,DP0GR07N,DP0GR07P,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETWHIC,DPETWHIP,DS0GR07N,DS0GR07P,DW0GR07N,DW0GR07P
"018901",72,100,2,2.8,15,20.8,0,0,1,1.4,1170,83,7.1,46,3.9,23,1.8,554,47.4,307,26.2,3,0.3,88,7.5,6,0.5,442,37.8,808,69.1,6,8.3,54,75
"018902",26,100,0,0,6,23.1,0,0,0,0,523,34,6.5,27,5.2,9,1.6,236,45.1,163,31.2,6,1.1,34,6.5,2,0.4,178,34,325,62.1,5,19.2,20,76.9
"018903",11,100,0,0,3,27.3,0,0,0,0,118,21,17.8,8,6.8,0,0,103,87.3,67,56.8,0,0,22,18.6,0,0,44,37.3,43,36.4,6,54.5,8,72.7
"018904",49,100,1,2,6,12.2,0,0,0,0,590,34,5.8,17,2.9,9,1.3,276,46.8,114,19.3,3,0.5,34,5.8,2,0.3,275,46.6,454,76.9,9,18.4,42,85.7
"018905",10,100,1,10,7,70,0,0,0,0,212,35,16.5,3,1.4,1,0.4,170,80.2,101,47.6,0,0,35,16.5,0,0,172,81.1,108,50.9,3,30,2,20
"018906",9,100,0,0,1,11.1,0,0,0,0,131,3,2.3,2,1.5,1,0.6,67,51.1,22,16.8,1,0.8,3,2.3,0,0,44,33.6,106,80.9,2,22.2,8,88.9
"018907",23,100,0,0,0,0,0,0,0,0,272,6,2.2,3,1.1,3,0.9,174,64,28,10.3,0,0,6,2.2,1,0.4,104,38.2,240,88.2,1,4.3,23,100
"018908",8,100,0,0,1,12.5,0,0,0,0,91,0,0,0,0,1,0.8,51,56,14,15.4,0,0,0,0,0,0,42,46.2,77,84.6,2,25,7,87.5
"019901",67,100,18,26.9,3,4.5,0,0,0,0,796,21,2.6,215,27,23,2.6,495,62.2,53,6.7,10,1.3,28,3.5,5,0.6,203,25.5,513,64.4,10,14.9,46,68.7
"019902",76,100,13,17.1,0,0,1,1.3,0,0,1047,24,2.3,225,21.5,12,1,566,54.1,45,4.3,9,0.9,24,2.3,9,0.9,421,40.2,759,72.5,12,15.8,62,81.6
"019903",34,100,4,11.8,1,2.9,0,0,0,0,481,0,0,36,7.5,3,0.6,206,42.8,3,0.6,3,0.6,0,0,2,0.4,198,41.2,437,90.9,5,14.7,29,85.3
"019905",105,100,23,21.9,0,0,2,1.9,0,0,1434,7,0.5,290,20.2,40,2.5,708,49.4,60,4.2,17,1.2,7,0.5,13,0.9,490,34.2,1054,73.5,15,14.3,80,76.2
"019906",66,100,3,4.5,0,0,0,0,0,0,1124,1,0.1,65,5.8,19,1.6,351,31.2,26,2.3,6,0.5,3,0.3,4,0.4,402,35.8,1023,91,9,13.6,63,95.5
"019907",385,100,160,41.6,17,4.4,3,0.8,6,1.6,6442,119,1.8,3217,49.9,171,2.5,4001,62.1,419,6.5,40,0.6,124,1.9,67,1,2753,42.7,2699,41.9,54,14,199,51.7
"019908",127,100,54,42.5,1,0.8,1,0.8,0,0,2786,20,0.7,1403,50.4,97,2.9,1768,63.5,80,2.9,6,0.2,20,0.7,4,0.1,987,35.4,1293,46.4,22,17.3,71,55.9
"019909",36,100,0,0,1,2.8,0,0,0,0,595,0,0,5,0.8,9,1.3,296,49.7,3,0.5,7,1.2,0,0,0,0,260,43.7,580,97.5,12,33.3,35,97.2
"019910",0,.,0,.,0,.,0,.,0,.,116,0,0,0,0,1,0.7,43,37.1,3,2.6,2,1.7,0,0,1,0.9,18,15.5,110,94.8,0,.,0,.
"019911",0,.,0,.,0,.,0,.,0,.,395,1,0.3,10,2.5,2,0.5,53,13.4,18,4.6,8,2,1,0.3,2,0.5,23,5.8,357,90.4,0,.,0,.
"019912",127,100,5,3.9,3,2.4,1,0.8,5,3.9,1914,49,2.6,217,11.3,24,1.1,395,20.6,89,4.6,8,0.4,53,2.8,70,3.7,559,29.2,1530,79.9,12,9.4,113,89
"019913",0,.,0,.,0,.,0,.,0,.,122,3,2.5,0,0,0,0,61,50,4,3.3,7,5.7,3,2.5,0,0,22,18,111,91,0,.,0,.
"019914",0,.,0,.,0,.,0,.,0,.,129,0,0,5,3.9,0,0,69,53.5,1,0.8,0,0,0,0,0,0,27,20.9,123,95.3,0,.,0,.
"020901",668,100,35,5.2,218,32.6,2,0.3,31,4.6,15196,1763,11.6,1649,10.9,805,5.1,7240,47.6,6428,42.3,35,0.2,1904,12.5,818,5.4,5739,37.8,6266,41.2,84,12.6,382,57.2
"020902",371,100,50,13.5,103,27.8,1,0.3,4,1.1,6349,476,7.5,987,15.5,163,2.2,3057,48.1,2441,38.4,25,0.4,511,8,50,0.8,2865,45.1,2846,44.8,39,10.5,213,57.4
"020904",45,100,0,0,9,20,0,0,0,0,786,20,2.5,10,1.3,11,1.3,236,30,148,18.8,4,0.5,21,2.7,0,0,239,30.4,624,79.4,5,11.1,36,80
"020905",743,100,65,8.7,226,30.4,1,0.1,26,3.5,13025,1136,8.7,1335,10.2,447,3.1,6614,50.8,5632,43.2,41,0.3,1299,10,215,1.7,5509,42.3,5802,44.5,103,13.9,425,57.2
"020906",149,100,16,10.7,25,16.8,0,0,2,1.3,1972,48,2.4,362,18.4,26,1.2,776,39.4,303,15.4,2,0.1,48,2.4,6,0.3,749,38,1299,65.9,16,10.7,106,71.1
"020907",192,100,40,20.8,30,15.6,2,1,0,0,3090,92,3,445,14.4,48,1.4,1437,46.5,673,21.8,13,0.4,110,3.6,21,0.7,1451,47,1938,62.7,21,10.9,120,62.5
"020908",919,100,149,16.2,205,22.3,2,0.2,76,8.3,17021,1311,7.7,2890,17,232,1.3,3762,22.1,4233,24.9,41,0.2,1395,8.2,1625,9.5,4881,28.7,8232,48.4,77,8.4,487,53
"020910",0,.,0,.,0,.,0,.,0,.,133,17,12.8,3,2.3,0,0,86,64.7,52,39.1,0,0,17,12.8,0,0,61,45.9,78,58.6,0,.,0,.
"021803",41,100,27,65.9,12,29.3,0,0,0,0,458,13,2.8,209,45.6,0,0,402,87.8,227,49.6,0,0,15,3.3,1,0.2,181,39.5,21,4.6,25,61,2,4.9
"021804",0,.,0,.,0,.,0,.,0,.,213,8,3.8,26,12.2,0,.,80,37.6,56,26.3,3,1.4,8,3.8,3,1.4,8,3.8,125,58.7,0,.,0,.
"021901",566,100,47,8.3,49,8.7,1,0.2,46,8.1,9172,599,6.5,1256,13.7,103,1.1,2760,30.1,1467,16,16,0.2,563,6.1,854,9.3,2833,30.9,5579,60.8,30,5.3,423,74.7
"021902",703,100,130,18.5,230,32.7,0,0,4,0.6,14731,2286,15.5,3494,23.7,419,2.6,9841,66.8,6591,44.7,9,0.1,2385,16.2,78,0.5,9487,64.4,4559,30.9,69,9.8,339,48.2
